1,age,'Age in years'
2,sex,'Female or male'
3,cp,'Chest pain type (typical angina, atypical angina, non-angina, or asymptomatic angina)'
4,trestbps,'Resting blood pressure (mm Hg)'
5,chol,'Serum cholesterol (mg/dl)'
6,fbs,'Fasting blood sugar (< 120 mg/dl or > 120 mg/dl)'
7,restecg,'Resting electrocardiography results (normal, ST-T wave abnormality, or left ventricular hypertrophy)'
8,thalach,'Max. heart rate achieved during thalium stress test'
9,exang,'Exercise induced angina (yes or no)'
10,oldpeak,'ST depression induced by exercise relative to rest'
11,slope,'Slope of peak exercise ST segment (upsloping, flat, or downsloping)'
12,ca,'Number of major vessels colored by fluoroscopy'
13,thal,'Thalium stress test result (normal, fixed defect, or reversible defect)'
14,num,'Heart disease status: number of major vessels with >50% narrowing (0,1,2,3, or 4)'